,Symbol,Open,High,Low,Close,Volume,Market Cap
476,MAX,66.565068,76.254763,58.210139,65.60594999999999,103420791.0,1983337908.0
734,TPAY,644.948653,689.819721,588.203132,646.534562,101970463.0,12423424130.880001
522,NET,1.894591,2.1406169999999998,1.68359,1.879975,101750007.3,787325170.0
9,ABY,4.30911,4.763394,3.920868,4.311376,99231348.0,3356417145.0
129,BTCP,3546.1,3832.39,3215.64,3485.9,98916406.0,59012606738.16
54,ATCC,75.223987,81.847431,66.96718,75.357847,97637350.0,25828081713.74
337,GDC,0.1506375,0.17376353,0.13140447,0.14822351,95937308.3,57178581805.200005
703,START,59.771511,67.012305,53.644778,59.412905,95079462.0,2103784445.0
225,DBIX,3438.89956,3830.430347,3047.878351,3441.620284,93541384.0,10503845865.54
263,ECA,0.41504800000000003,0.474926,0.363155,0.418304,92161516.0,9898145403.74
635,RBY,401.543288,433.862231,373.527953,401.72309,89689836.0,9927709815.0
650,RVN,5.440458,5.784692,5.004303,5.423486,87160936.0,8438306340.4
836,XMG,165.575263,183.80747,151.646106,165.521518,86837617.0,1216985103.0
829,XJO,8.182533,9.741156,7.311824,8.244644,86167524.77,211165021.0
582,PHS,44.611694,50.394953,39.75503,44.555023,86001839.77,146436989.0
268,EDRC,232.530459,277.058239,204.59578,231.30724,85848736.0,209977046605.30002
540,NTY,0.049401,0.055435,0.043974,0.049531,84630227.0,17226154262.440002
789,VRM,1420.307472,1575.910109,1293.43718,1421.564949,84252813.0,2023834775.0
107,BOS,250.763167,289.362167,212.776277,250.332778,81987488.0,46729485147.04
211,CRW,721.15408,787.707431,664.361629,721.25806,78632329.0,11849650297.0
121,BT2,32721.34,37204.89,27612.47,31756.63,78548051.0,67584625465.28
59,AUR,1192.979035,1459.162618,1014.203826,1188.33628,76464636.0,11603759727.0
389,HWC,1259.462734,1386.482369,1049.543613,1241.408027,75764730.0,5186948383.360001
479,MCC,1.852369,2.087441,1.616121,1.76701,71555564.0,16150737703.1
447,LGS,568.29,642.67,508.44,568.51,71328359.0,851715786.22
856,XST,143.334382,159.297538,129.720465,143.442785,68394865.0,3972942478.0
371,HBN,32.636759,37.526551,29.549148,32.623917,67660777.71,432132884.0
488,MINT,0.211222,0.255948,0.173238,0.209748,66467506.0,5117977033.0
556,ONION,905.512913,1007.708787,798.546185,903.865985,65696807.0,6895783461.0
534,NOTE,40.55743,46.205808,34.672727,40.516203,64081127.0,5667436404.48
270,EGC,115.29153,126.706695,106.125646,115.29871,61797885.0,3273286274.1800003
282,ENRG,50.782505,56.305813,46.587083,50.840558,60508620.0,6166437749.0
218,CURE,181.436279,198.351652,166.611631,180.882667,60433951.0,4094616283.0
112,BRK,15817.136499,16291.930393,15248.229377,15862.86839,59608076.0,8492526558.24
743,TRUST,47.596389,52.718145,43.412545,47.612362,59021859.0,1526574059.0
563,ORB,202.136706,223.068257,185.971597,202.124911,57959790.17999999,596338324.0
725,TGC,3.957895,4.631762,3.457728,3.929987,57379641.17999999,82152460593.2
386,HUC,107.520951,120.950143,95.908486,107.055674,57366657.0,1545750136.0
331,GBG,57.577051,64.706163,52.626654,57.428444,57150020.0,147095949542.08002
