Location IP,Collection Time,Location,Status,HTTP Status Code,DNS Response Time (ms),SSL Handshake Time (ms),Connection Time (ms),Response Time (ms),Content Length (B),Resolved IP,Reason
43.225.142.155,February 23 2023 12:50:34 AM ICT,Bangkok - TH,Up,200,2,59,25,123,24122,13.107.237.59,-
43.133.98.45,February 23 2023 12:45:09 AM ICT,Bangkok - TH,Up,200,32,10,2,123,24122,13.107.238.59,-
43.133.98.45,February 23 2023 12:39:43 AM ICT,Bangkok - TH,Up,200,29,16,2,128,24122,13.107.237.59,-
43.133.98.45,February 23 2023 12:34:21 AM ICT,Bangkok - TH,Up,200,29,11,2,123,24122,13.107.238.59,-
43.225.142.155,February 23 2023 12:28:55 AM ICT,Bangkok - TH,Up,200,65,56,24,181,24122,13.107.237.59,-
43.225.142.155,February 23 2023 12:23:39 AM ICT,Bangkok - TH,Up,200,65,58,25,185,24122,13.107.237.59,-
43.133.98.45,February 23 2023 12:18:21 AM ICT,Bangkok - TH,Up,200,28,57,21,217,24122,13.107.237.59,-
43.225.142.155,February 23 2023 12:13:02 AM ICT,Bangkok - TH,Up,200,63,12,4,113,24122,13.107.237.59,-
43.225.142.155,February 23 2023 12:07:43 AM ICT,Bangkok - TH,Up,200,77,66,27,210,24122,13.107.237.59,-
43.225.142.155,February 23 2023 12:02:25 AM ICT,Bangkok - TH,Up,200,48,77,27,212,24122,13.107.237.59,-
43.133.98.45,February 22 2023 11:57:02 PM ICT,Bangkok - TH,Up,200,1,8,1,89,24122,13.107.237.59,-
43.133.98.45,February 22 2023 11:51:46 PM ICT,Bangkok - TH,Up,200,82,9,1,122,24122,13.107.238.68,-
43.133.98.45,February 22 2023 11:46:29 PM ICT,Bangkok - TH,Up,200,82,54,22,192,24122,13.107.237.68,-
43.225.142.155,February 22 2023 11:41:10 PM ICT,Bangkok - TH,Up,200,64,14,4,117,24122,13.107.237.59,-
43.133.98.45,February 22 2023 11:35:46 PM ICT,Bangkok - TH,Up,200,82,10,2,125,24122,13.107.238.48,-
43.225.142.155,February 22 2023 11:30:24 PM ICT,Bangkok - TH,Up,200,890,15,6,993,24122,13.107.238.48,-
43.225.142.155,February 22 2023 11:24:15 PM ICT,Bangkok - TH,Up,200,69,61,27,202,24122,13.107.238.59,-
43.133.98.45,February 22 2023 11:19:00 PM ICT,Bangkok - TH,Up,200,29,8,1,68,24122,13.107.237.59,-
43.225.142.155,February 22 2023 11:13:38 PM ICT,Bangkok - TH,Up,200,33,15,5,85,24122,13.107.237.59,-
43.225.142.155,February 22 2023 11:08:19 PM ICT,Bangkok - TH,Up,200,65,11,3,195,24122,13.107.238.59,-
43.225.142.155,February 22 2023 11:02:59 PM ICT,Bangkok - TH,Up,200,97,57,24,215,24122,13.107.237.59,-
43.133.98.45,February 22 2023 10:57:37 PM ICT,Bangkok - TH,Up,200,29,18,3,148,24122,13.107.237.59,-
43.225.142.155,February 22 2023 10:52:17 PM ICT,Bangkok - TH,Up,200,64,56,24,180,24122,13.107.238.59,-
43.133.98.45,February 22 2023 10:46:55 PM ICT,Bangkok - TH,Up,200,82,9,2,124,24122,13.107.238.48,-
43.133.98.45,February 22 2023 10:41:35 PM ICT,Bangkok - TH,Up,200,83,19,2,135,24122,13.107.238.48,-
43.225.142.155,February 22 2023 10:36:08 PM ICT,Bangkok - TH,Up,200,32,58,25,155,24122,13.107.238.59,-
43.133.98.45,February 22 2023 10:30:48 PM ICT,Bangkok - TH,Up,200,82,59,22,198,24122,13.107.237.59,-
43.133.98.45,February 22 2023 10:25:23 PM ICT,Bangkok - TH,Up,200,29,54,21,136,24122,13.107.237.59,-
43.225.142.155,February 22 2023 10:20:03 PM ICT,Bangkok - TH,Up,200,91,11,3,188,24122,13.107.237.68,-
43.225.142.155,February 22 2023 10:14:46 PM ICT,Bangkok - TH,Up,200,203,59,27,325,24122,13.107.238.68,-
43.133.98.45,February 22 2023 10:09:02 PM ICT,Bangkok - TH,Up,200,81,55,22,225,24122,13.107.237.48,-
43.225.142.155,February 22 2023 10:03:44 PM ICT,Bangkok - TH,Up,200,2,59,24,122,24122,13.107.238.48,-
43.133.98.45,February 22 2023 9:58:25 PM ICT,Bangkok - TH,Up,200,4,71,29,142,24122,13.107.238.68,-
43.225.142.155,February 22 2023 9:53:06 PM ICT,Bangkok - TH,Up,200,95,13,4,190,24122,13.107.237.59,-
43.225.142.155,February 22 2023 9:47:46 PM ICT,Bangkok - TH,Up,200,157,17,5,215,24122,13.107.238.59,-
43.225.142.155,February 22 2023 9:42:31 PM ICT,Bangkok - TH,Up,200,66,17,5,173,24122,13.107.237.59,-
43.133.98.45,February 22 2023 9:37:08 PM ICT,Bangkok - TH,Up,200,82,12,1,195,24122,13.107.238.59,-
43.133.98.45,February 22 2023 9:31:41 PM ICT,Bangkok - TH,Up,200,83,64,23,205,24122,13.107.238.59,-
43.225.142.155,February 22 2023 9:26:17 PM ICT,Bangkok - TH,Up,200,148,13,3,196,24122,13.107.238.68,-
43.225.142.155,February 22 2023 9:20:50 PM ICT,Bangkok - TH,Up,200,70,15,5,175,24122,13.107.237.59,-
43.225.142.155,February 22 2023 9:15:20 PM ICT,Bangkok - TH,Up,200,69,15,4,122,24122,13.107.238.59,-
43.225.142.155,February 22 2023 9:09:54 PM ICT,Bangkok - TH,Up,200,36,17,4,138,24122,13.107.238.59,-
43.133.98.45,February 22 2023 9:04:36 PM ICT,Bangkok - TH,Up,200,28,9,1,69,24122,13.107.237.59,-
43.225.142.155,February 22 2023 8:59:18 PM ICT,Bangkok - TH,Up,200,239,14,4,303,24122,13.107.237.59,-
43.133.98.45,February 22 2023 8:53:59 PM ICT,Bangkok - TH,Up,200,81,12,2,126,24122,13.107.238.59,-
43.133.98.45,February 22 2023 8:48:39 PM ICT,Bangkok - TH,Up,200,1,10,2,43,24122,13.107.237.59,-
43.225.142.155,February 22 2023 8:43:09 PM ICT,Bangkok - TH,Up,200,24,13,4,76,24122,13.107.237.48,-
43.133.98.45,February 22 2023 8:37:50 PM ICT,Bangkok - TH,Up,200,27,51,22,145,24122,13.107.238.59,-
43.225.142.155,February 22 2023 8:32:30 PM ICT,Bangkok - TH,Up,200,24,56,25,142,24122,13.107.238.68,-
43.133.98.45,February 22 2023 8:27:03 PM ICT,Bangkok - TH,Up,200,28,63,4,179,24122,13.107.238.59,-
43.133.98.45,February 22 2023 8:21:42 PM ICT,Bangkok - TH,Up,200,98,75,22,232,24122,13.107.238.48,-
43.225.142.155,February 22 2023 8:16:22 PM ICT,Bangkok - TH,Up,200,120,58,25,239,24122,13.107.238.59,-
43.225.142.155,February 22 2023 8:11:01 PM ICT,Bangkok - TH,Up,200,110,64,30,284,24122,13.107.238.68,-
43.225.142.155,February 22 2023 8:05:39 PM ICT,Bangkok - TH,Up,200,153,28,5,258,24122,13.107.238.48,-
43.225.142.155,February 22 2023 8:00:20 PM ICT,Bangkok - TH,Up,200,163,57,25,283,24122,13.107.238.59,-
43.225.142.155,February 22 2023 7:55:00 PM ICT,Bangkok - TH,Up,200,173,14,4,255,24122,13.107.237.68,-
43.225.142.155,February 22 2023 7:49:41 PM ICT,Bangkok - TH,Up,200,120,59,25,245,24122,13.107.238.59,-
43.225.142.155,February 22 2023 7:44:19 PM ICT,Bangkok - TH,Up,200,37,14,26,111,24122,13.107.237.59,-
43.133.98.45,February 22 2023 7:39:01 PM ICT,Bangkok - TH,Up,200,142,66,24,265,24122,13.107.238.59,-
43.225.142.155,February 22 2023 7:33:39 PM ICT,Bangkok - TH,Up,200,159,57,24,277,24122,13.107.238.68,-
43.225.142.155,February 22 2023 7:28:19 PM ICT,Bangkok - TH,Up,200,149,12,3,196,24122,13.107.238.48,-
43.133.98.45,February 22 2023 7:23:02 PM ICT,Bangkok - TH,Up,200,28,48,21,143,24122,13.107.238.59,-
43.133.98.45,February 22 2023 7:17:48 PM ICT,Bangkok - TH,Up,200,31,10,3,75,24122,13.107.238.59,-
43.133.98.45,February 22 2023 7:12:31 PM ICT,Bangkok - TH,Up,200,27,10,1,118,24122,13.107.237.59,-
43.133.98.45,February 22 2023 7:07:12 PM ICT,Bangkok - TH,Up,200,81,10,1,171,24122,13.107.237.68,-
43.133.98.45,February 22 2023 7:01:52 PM ICT,Bangkok - TH,Up,200,30,68,25,158,24122,13.107.238.59,-
43.133.98.45,February 22 2023 6:56:25 PM ICT,Bangkok - TH,Up,200,28,10,2,122,24122,13.107.238.59,-
43.225.142.155,February 22 2023 6:51:03 PM ICT,Bangkok - TH,Up,200,1000,14,4,1049,24122,13.107.238.59,-
43.133.98.45,February 22 2023 6:45:39 PM ICT,Bangkok - TH,Up,200,1,23,5,128,24122,13.107.238.48,-
43.225.142.155,February 22 2023 6:40:22 PM ICT,Bangkok - TH,Up,200,31,57,24,176,24122,13.107.237.48,-
43.225.142.155,February 22 2023 6:34:59 PM ICT,Bangkok - TH,Up,200,1001,61,24,1120,24122,13.107.238.59,-
43.133.98.45,February 22 2023 6:29:41 PM ICT,Bangkok - TH,Up,200,81,16,4,179,24122,13.107.238.68,-
43.225.142.155,February 22 2023 6:24:24 PM ICT,Bangkok - TH,Up,200,150,18,7,273,24122,13.107.237.59,-
43.133.98.45,February 22 2023 6:19:01 PM ICT,Bangkok - TH,Up,200,1,51,21,106,24122,13.107.238.59,-
43.225.142.155,February 22 2023 6:13:50 PM ICT,Bangkok - TH,Up,200,112,15,4,217,24122,13.107.237.68,-
43.133.98.45,February 22 2023 6:08:35 PM ICT,Bangkok - TH,Up,200,1,39,15,87,24122,13.107.238.59,-
43.133.98.45,February 22 2023 6:03:16 PM ICT,Bangkok - TH,Up,200,97,65,24,225,24122,13.107.238.59,-
43.133.98.45,February 22 2023 5:57:56 PM ICT,Bangkok - TH,Up,200,27,8,1,66,24122,13.107.238.59,-
43.133.98.45,February 22 2023 5:52:45 PM ICT,Bangkok - TH,Up,200,1,52,21,150,24122,13.107.238.59,-
43.225.142.155,February 22 2023 5:47:26 PM ICT,Bangkok - TH,Up,200,70,55,23,183,24122,13.107.237.59,-
43.225.142.155,February 22 2023 5:42:12 PM ICT,Bangkok - TH,Up,200,143,59,26,265,24122,13.107.237.59,-
43.225.142.155,February 22 2023 5:36:58 PM ICT,Bangkok - TH,Up,200,164,25,6,307,24122,13.107.237.59,-
43.225.142.155,February 22 2023 5:31:41 PM ICT,Bangkok - TH,Up,200,36,17,6,102,24122,13.107.237.59,-
43.225.142.155,February 22 2023 5:26:23 PM ICT,Bangkok - TH,Up,200,42,59,28,167,24122,13.107.238.59,-
43.225.142.155,February 22 2023 5:21:07 PM ICT,Bangkok - TH,Up,200,932,34,5,1015,24122,13.107.238.59,-
43.225.142.155,February 22 2023 5:15:49 PM ICT,Bangkok - TH,Up,200,933,57,24,1049,24122,13.107.238.59,-
43.133.98.45,February 22 2023 5:10:32 PM ICT,Bangkok - TH,Up,200,1,55,22,118,24122,13.107.238.68,-
43.133.98.45,February 22 2023 5:05:11 PM ICT,Bangkok - TH,Up,200,0,9,1,85,24122,13.107.238.48,-
43.133.98.45,February 22 2023 4:59:56 PM ICT,Bangkok - TH,Up,200,28,10,2,69,24122,13.107.237.59,-
43.225.142.155,February 22 2023 4:54:36 PM ICT,Bangkok - TH,Up,200,68,52,23,176,24122,13.107.237.59,-
43.133.98.45,February 22 2023 4:49:22 PM ICT,Bangkok - TH,Up,200,81,9,2,123,24122,13.107.238.68,-
43.225.142.155,February 22 2023 4:44:05 PM ICT,Bangkok - TH,Up,200,21,60,26,143,24122,13.107.238.59,-
43.225.142.155,February 22 2023 4:38:51 PM ICT,Bangkok - TH,Up,200,209,13,5,260,24122,13.107.238.48,-
43.225.142.155,February 22 2023 4:33:37 PM ICT,Bangkok - TH,Up,200,72,18,6,128,24122,13.107.238.59,-
43.225.142.155,February 22 2023 4:28:22 PM ICT,Bangkok - TH,Up,200,3,18,5,61,24122,13.107.237.59,-
43.225.142.155,February 22 2023 4:23:02 PM ICT,Bangkok - TH,Up,200,128,12,3,177,24122,13.107.237.48,-
43.225.142.155,February 22 2023 4:17:49 PM ICT,Bangkok - TH,Up,200,71,58,25,190,24122,13.107.238.59,-
43.225.142.155,February 22 2023 4:12:30 PM ICT,Bangkok - TH,Up,200,1001,58,24,1126,24122,13.107.238.59,-
43.225.142.155,February 22 2023 4:07:05 PM ICT,Bangkok - TH,Up,200,3,56,31,130,24122,13.107.238.59,-
43.225.142.155,February 22 2023 4:01:50 PM ICT,Bangkok - TH,Up,200,33,57,24,150,24122,13.107.238.59,-
43.225.142.155,February 22 2023 3:56:03 PM ICT,Bangkok - TH,Up,200,312,56,25,428,24122,13.107.238.68,-
43.225.142.155,February 22 2023 3:50:46 PM ICT,Bangkok - TH,Up,200,120,60,25,239,24122,13.107.238.68,-
43.225.142.155,February 22 2023 3:45:24 PM ICT,Bangkok - TH,Up,200,72,57,27,193,24122,13.107.237.59,-
43.225.142.155,February 22 2023 3:40:01 PM ICT,Bangkok - TH,Up,200,4,56,24,119,24122,13.107.237.59,-
43.225.142.155,February 22 2023 3:34:40 PM ICT,Bangkok - TH,Up,200,150,18,5,208,24122,13.107.237.48,-
43.225.142.155,February 22 2023 3:29:16 PM ICT,Bangkok - TH,Up,200,75,56,24,248,24122,13.107.237.59,-
43.225.142.155,February 22 2023 3:23:56 PM ICT,Bangkok - TH,Up,200,65,218,4,368,24122,13.107.237.59,-
43.133.98.45,February 22 2023 3:18:34 PM ICT,Bangkok - TH,Up,200,1,53,21,108,24122,13.107.237.48,-
43.133.98.45,February 22 2023 3:13:14 PM ICT,Bangkok - TH,Up,200,1,62,27,121,24122,13.107.253.59,-
43.225.142.155,February 22 2023 3:07:52 PM ICT,Bangkok - TH,Up,200,152,15,4,203,24122,13.107.237.59,-
43.225.142.155,February 22 2023 3:02:35 PM ICT,Bangkok - TH,Up,200,66,17,5,122,24122,13.107.238.59,-
43.225.142.155,February 22 2023 2:57:18 PM ICT,Bangkok - TH,Up,200,35,21,8,150,24122,13.107.237.68,-
43.225.142.155,February 22 2023 2:52:02 PM ICT,Bangkok - TH,Up,200,126,76,29,267,24122,13.107.253.59,-
43.225.142.155,February 22 2023 2:46:35 PM ICT,Bangkok - TH,Up,200,68,53,25,198,24122,13.107.237.48,-
43.225.142.155,February 22 2023 2:41:25 PM ICT,Bangkok - TH,Up,200,127,13,4,177,24122,13.107.238.68,-
43.225.142.155,February 22 2023 2:36:10 PM ICT,Bangkok - TH,Up,200,67,14,4,172,24122,13.107.237.59,-
