State,Country,Lat,Long,4_1_2020,12_1_2020,4_1_2021
,Philippines,12.879721,121.774017,2311,432925,756199
,Poland,51.9194,19.1451,2554,999924,2356970
,Portugal,39.3999,-8.2245,8251,300462,822314
,Qatar,25.3548,51.1839,835,139001,180804
,Romania,45.9432,24.9668,2460,479634,958918
,Russia,61.52401,105.318756,2777,2302062,4503291
,Rwanda,-1.9403,29.8739,82,5948,21918
,Saint Kitts and Nevis,17.357822,-62.782998,8,22,44
,Saint Lucia,13.9094,-60.9789,13,259,4245
,Saint Vincent and the Grenadines,12.9843,-61.2872,1,85,1750
,Samoa,-13.759,-172.1046,0,2,3
,San Marino,43.9424,12.4578,236,1650,4730
,Sao Tome and Principe,0.1864,6.6131,0,996,2232
,Saudi Arabia,23.885942,45.079162,1720,357623,390597
,Senegal,14.4974,-14.4524,190,16107,38782
,Serbia,44.0165,21.0059,1060,183437,605406
,Seychelles,-4.6796,55.492,10,183,4135
,Sierra Leone,8.460555,-11.779889,2,2413,3981
,Singapore,1.2833,103.8333,1000,58228,60407
,Slovakia,48.669,19.699,400,107183,362489
,Slovenia,46.1512,14.9955,841,77135,216939
,Solomon Islands,-9.6457,160.1562,0,17,19
,Somalia,5.152149,46.199616,5,4451,11499
,South Africa,-30.5595,22.9375,1380,792299,1549451
,South Sudan,6.877,31.307,0,3111,10197
,Spain,40.463667,-3.74922,104118,1656444,3291394
,Sri Lanka,7.873054,80.771797,146,24532,92917
,Sudan,12.8628,30.2176,7,18254,31833
,Suriname,3.9193,-56.0278,10,5319,9122
,Sweden,60.128161,18.643501,5320,260758,813191
,Switzerland,46.8182,8.2275,17768,330874,603092
,Syria,34.802075,38.996815,10,7973,19039
,Taiwan*,23.7,121,329,679,1036
,Tajikistan,38.861,71.2761,0,12231,13308
,Tanzania,-6.369028,34.888822,20,509,509
,Thailand,15.870032,100.992541,1771,4026,28889
,Timor-Leste,-8.874217,125.727539,1,30,643
,Togo,8.6195,0.8248,36,2997,10654
,Trinidad and Tobago,10.6918,-61.2225,90,6685,8072
,Tunisia,33.886917,9.537499,423,96769,255308
,Turkey,38.9637,35.2433,15679,668957,3357988
,US,40,-100,224560,13858551,30541255
,Uganda,1.373333,32.290275,44,21035,40889
,Ukraine,48.3794,31.1656,794,765117,1742710
,United Arab Emirates,23.424076,53.847818,814,170149,463759
Anguilla,United Kingdom,18.2206,-63.0686,2,6,25
Bermuda,United Kingdom,32.3078,-64.7505,32,262,1292
British Virgin Islands,United Kingdom,18.4207,-64.64,3,72,153
Cayman Islands,United Kingdom,19.3133,-81.2546,22,285,501
Channel Islands,United Kingdom,49.3723,-2.3644,172,1341,4050
Falkland Islands (Malvinas),United Kingdom,-51.7963,-59.5236,0,16,54
Gibraltar,United Kingdom,36.1408,-5.3536,81,1030,4275
Isle of Man,United Kingdom,54.2361,-4.5481,68,369,1570
Montserrat,United Kingdom,16.742498,-62.187366,5,13,20
"Saint Helena, Ascension and Tristan da Cunha",United Kingdom,-7.9467,-14.3559,0,3,4
Turks and Caicos Islands,United Kingdom,21.694,-71.7979,6,750,2337
,United Kingdom,55.3781,-3.436,43398,1643086,4350266
,Uruguay,-32.5228,-55.7658,350,6024,108188
,Uzbekistan,41.377491,64.585262,181,73276,83050
,Vanuatu,-15.3767,166.9592,0,1,3
,Venezuela,6.4238,-66.5897,143,102621,161751
,Vietnam,14.058324,108.277199,218,1351,2617
,West Bank and Gaza,31.9522,35.2332,134,88004,244645
,Yemen,15.552727,48.516388,0,2077,4531
,Zambia,-13.133897,27.849332,36,17665,88549
,Zimbabwe,-19.015438,29.154857,8,10129,36896
